Screaming Circuits SMD component position file.
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.

Centroid Data for pc board: "NFluidEX_v1.brd" as of: 2022-03-17 1:37 PM
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
A1,Top,0.315,0.705,90
A2,Top,0.048,2.185,90
C1,Top,1.925,3.300,0
C2,Top,2.075,3.145,90
C3,Top,2.620,3.340,90
C4,Top,2.395,3.340,90
C5,Top,1.175,2.475,270
C6,Top,1.440,2.595,270
C7,Top,1.855,2.275,0
C8,Top,2.240,2.665,90
C9,Top,2.333,1.942,270
C10,Top,2.335,1.405,0
C11,Top,2.100,1.815,180
C12,Top,1.675,1.762,90
C13,Top,1.895,1.330,180
C14,Top,1.955,0.910,90
C15,Top,2.085,0.185,0
C16,Top,1.837,0.977,270
C17,Top,2.522,2.667,90
C18,Top,0.583,0.320,180
C19,Top,0.540,1.955,180
C20,Top,1.095,2.475,270
C21,Top,1.925,3.405,0
C22,Top,2.075,3.315,270
C23,Top,2.505,3.340,90
C24,Top,0.438,2.982,90
C25,Top,0.378,2.623,0
C26,Top,2.320,2.665,90
C27,Top,1.635,2.590,180
C28,Top,1.675,2.745,270
C29,Top,1.575,2.410,90
C30,Top,1.845,2.365,180
C31,Top,1.940,1.815,180
C32,Top,2.260,1.815,0
C33,Top,1.415,3.275,270
C34,Top,0.830,3.085,270
C35,Top,0.520,2.982,270
C36,Top,1.055,2.220,180
C37,Top,1.438,1.963,0
C38,Top,1.890,2.145,45
C39,Top,1.825,0.600,90
C40,Top,1.615,3.275,90
D1,Top,0.805,3.360,180
D2,Top,0.625,3.210,180
FB1,Top,1.445,3.405,180
FB2,Top,1.445,3.145,180
FB3,Top,0.398,2.750,90
FB4,Top,0.470,2.840,90
FB5,Top,0.360,2.985,270
FB6,Top,2.000,3.080,90
J1,Top,2.720,0.605,90
J2,Top,2.715,1.355,90
J3,Top,0.480,3.405,180
J4,Top,0.140,3.130,90
J5,Top,0.675,1.670,90
J8,Top,0.700,2.295,270
LED1,Top,0.627,2.882,0
LED2,Top,0.125,1.125,180
LED3,Top,1.100,0.595,180
Q1,Top,1.140,3.085,90
Q2,Top,0.945,3.085,270
Q3,Top,1.155,0.395,0
Q4,Top,0.800,0.395,0
Q5,Top,0.985,0.395,0
Q6,Top,0.840,0.710,270
Q7,Top,0.990,2.730,270
Q8,Top,2.680,2.866,180
Q9,Top,2.680,2.630,180
R1,Top,0.120,2.623,0
R2,Top,0.263,1.125,270
R3,Top,0.343,1.125,270
R4,Top,0.568,1.095,0
R5,Top,0.422,1.125,90
R6,Top,0.263,0.307,0
R7,Top,0.415,1.630,90
R8,Top,1.270,3.085,270
R9,Top,1.195,3.250,90
R10,Top,0.950,2.895,270
R11,Top,0.535,0.100,270
R12,Top,1.795,2.595,0
R13,Top,1.720,2.160,180
R14,Top,0.985,0.260,180
R15,Top,0.800,0.260,180
R16,Top,1.155,0.260,180
R17,Top,0.765,0.595,90
R18,Top,1.133,2.010,180
R19,Top,1.135,1.820,180
R20,Top,1.433,1.725,0
R21,Top,0.885,2.475,270
R22,Top,0.885,2.280,270
R23,Top,0.395,1.355,270
R24,Top,2.150,1.665,270
R25,Top,2.060,1.665,270
R26,Top,2.335,1.305,0
R27,Top,1.755,2.820,90
R28,Top,1.580,2.745,90
R29,Top,1.845,2.475,180
R30,Top,1.595,2.235,270
R31,Top,1.710,1.640,180
R32,Top,1.555,0.385,90
R33,Top,1.437,2.044,180
R34,Top,1.399,1.847,270
R35,Top,0.910,0.565,180
R36,Top,0.128,1.238,180
R37,Top,0.750,2.828,180
R38,Top,1.635,2.070,180
R39,Top,1.555,1.525,90
R40,Top,1.445,0.845,90
R41,Top,1.560,0.845,90
R42,Top,2.360,1.145,270
R43,Top,2.030,0.435,270
R44,Top,2.116,1.018,0
R45,Top,1.450,0.385,90
R46,Top,0.530,3.130,180
R47,Top,0.620,0.100,90
R48,Top,2.235,3.225,270
S1,Top,0.193,1.623,180
S2,Top,0.193,1.400,180
S3,Top,1.030,3.330,90
SJ1,Top,0.652,2.708,180
U1,Top,0.665,3.080,0
U2,Top,0.190,2.800,90
U3,Top,1.930,3.185,0
U4,Top,2.515,3.145,0
U5,Top,0.868,0.998,180
U6,Top,1.042,1.290,180
U7,Top,0.960,1.945,0
U8,Top,0.960,1.640,0
U9,Top,2.260,0.405,0
U10,Top,1.765,0.815,180
U11,Top,2.175,2.400,90
U12,Top,2.100,1.995,0
U13,Top,1.425,2.765,90
U14,Top,1.565,1.295,90
U15,Top,1.000,0.740,0
U16,Top,1.500,0.640,90
U17,Top,2.005,0.680,270
U18,Top,1.575,1.810,270
U19,Top,1.700,2.405,270
U20,Top,1.947,1.220,0
U21,Top,1.953,1.061,90
U22,Top,2.080,0.290,90
X1,Top,2.567,2.522,90
