A1	8.75	17.91	90.00	ESP8266-12E/ESP-12E	XCVR_ESP8266-12E/ESP-12E
A2	3.47	55.50	90.00	CYPRESS_SEMICONDUCTOR_CYBLE-014008-00CYPRESS_SEMICONDUCTOR_CYBLE-014008-00_0_0	CYPRESS_SEMICONDUCTOR_CYBLE-014008-00_0
C1	48.90	83.82	0.00	0.1uF	C0805
C10	59.31	35.69	0.00	0.1uF	C0805
C11	53.34	46.10	180.00	0.1uF	C0805
C12	42.55	44.75	90.00	0.1uF	C0805
C13	48.13	33.78	180.00	0.1uF	C0805
C14	49.66	23.11	90.00	0.1uF	C0805
C15	52.96	4.70	0.00	0.1uF	C0805
C16	46.66	24.82	270.00	0.1uF	C0805
C17	64.07	67.75	90.00	0.1uF	C0805
C18	14.80	8.13	180.00	10u	C0805
C19	13.72	49.66	180.00	10u	C0805
C2	52.71	79.88	90.00	0.1uF	C0805
C20	27.81	62.87	270.00	10u	C0805
C21	48.90	86.49	0.00	10u	C0805
C22	52.71	84.20	270.00	10u	C0805
C23	63.63	84.84	90.00	10u	C0805
C24	11.11	75.76	90.00	10u	C0805
C25	9.59	66.61	0.00	10u	C0805
C26	58.93	67.69	90.00	10u	C0805
C27	41.53	65.79	180.00	2.2n 5%	C0805
C28	42.55	69.72	270.00	2.2n 5%	C0805
C29	40.01	61.21	90.00	2.2n 5%	C0805
C3	66.55	84.84	90.00	0.1uF	C0805
C30	46.86	60.07	180.00	2.2n 5%	C0805
C31	49.28	46.10	180.00	0.01uF	C0805
C32	57.40	46.10	0.00	0.01uF	C0805
C33	35.94	83.19	270.00	0.01uF	C0805
C34	21.08	78.36	270.00	4.7uF	C0805
C35	13.21	75.76	270.00	4.7uF	C0805
C36	26.80	56.39	180.00	4.7uF	C0805
C37	36.53	49.86	0.00	0.22uF_5%	C0805
C38	48.01	54.48	45.00	0.22uF_5%	C0805
C39	46.36	15.24	90.00	10p	C0805
C4	60.83	84.84	90.00	0.1uF	C0805
C40	41.02	83.19	90.00	47u	D/7343-31W
C5	29.85	62.87	270.00	0.1uF	C0805
C6	36.58	65.91	270.00	0.1uF	C0805
C7	47.12	57.79	0.00	0.1uF	C0805
C8	56.90	67.69	90.00	0.1uF	C0805
C9	59.25	49.34	270.00	0.1uF	C0805
D1	20.45	85.34	180.00	PMEG6010ER	DIODE_SOD123
D2	15.88	81.53	180.00	PMEG6010ER	DIODE_SOD123
FB1	36.70	86.49	180.00		R0805
FB2	36.70	79.88	180.00		R0805
FB3	10.10	69.85	90.00		R0805
FB4	11.94	72.14	90.00		R0805
FB5	9.14	75.82	270.00		R0805
